species	taxonomy	abundance
Faecalibacterium prausnitzii	n/a	28000
Veillonella rogosae	n/a	28000
Roseburia hominis	n/a	28000
Bacteroides fragilis	n/a	28000
Escherichia coli	n/a	28000
Prevotella corporis	n/a	12000
Bifidobacterium adolescentis	n/a	12000
Fusobacterium nucleatum	n/a	12000
Lactobacillus fermentum	n/a	12000
Clostridioides difficile	n/a	3000
Akkermansia muciniphila	n/a	3000
Candida albicans	n/a	3000
saccharomyces cerevisiae	n/a	2800
Methanobrevibacter smithii	n/a	200
Salmonella enterica	n/a	20
Enterococcus faecalis	n/a	2
Clostridium perfringens	n/a	0.2
